city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Hà Nội,Ha Noi,01,Hà Nội,01,Hà Nội,21.0285,105.8542,8246600,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,1
Hồ Chí Minh,Ho Chi Minh,79,Hồ Chí Minh,79,Hồ Chí Minh,10.8231,106.6297,9077158,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,2
Đà Nẵng,Da Nang,48,Đà Nẵng,48,Đà Nẵng,16.0544,108.2022,1134310,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,3
Cần Thơ,Can Tho,92,Cần Thơ,92,Cần Thơ,10.0452,105.7469,1282000,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,4
Hải Phòng,Hai Phong,31,Hải Phòng,31,Hải Phòng,20.8449,106.6881,2028514,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,5
Hà Giang,Ha Giang,02,Hà Giang,02,Hà Giang,22.8026,104.9784,854679,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,6
Cao Bằng,Cao Bang,04,Cao Bằng,04,Cao Bằng,22.6356,106.2522,539000,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,7
Bắc Kạn,Bac Kan,06,Bắc Kạn,06,Bắc Kạn,22.1474,105.8348,313905,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,8
Tuyên Quang,Tuyen Quang,08,Tuyên Quang,08,Tuyên Quang,21.8237,105.228,784811,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,9
Lào Cai,Lao Cai,10,Lào Cai,10,Lào Cai,22.4856,103.9707,730000,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,10
Điện Biên,Dien Bien,11,Điện Biên,11,Điện Biên,21.3833,103.0167,598856,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,11
Lai Châu,Lai Chau,12,Lai Châu,12,Lai Châu,22.3864,103.4702,460196,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,12
Sơn La,Son La,14,Sơn La,14,Sơn La,21.3256,103.9188,1248415,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,13
Yên Bái,Yen Bai,15,Yên Bái,15,Yên Bái,21.7167,104.8986,821030,,province,FALSE,TRUE,Asia/Ho_Chi_Minh,,,14
